section_number,starttime,endtime
0,2020-09-13 15:21:18,2020-09-15 06:58:35
1,2020-10-01 00:26:24,2020-10-03 00:46:16
2,2020-10-06 20:48:49,2020-10-08 13:48:27
3,2020-10-08 13:48:27,2020-10-10 13:04:46
4,2020-10-10 13:04:46,2020-10-12 02:23:15
5,2020-10-12 02:23:15,2020-10-13 21:10:42
6,2020-10-13 21:10:42,2020-10-15 09:07:30
7,2020-10-15 09:07:30,2020-10-17 00:31:58
8,2020-10-17 00:31:58,2020-10-18 13:53:20
9,2020-10-18 13:53:20,2020-10-20 06:44:54
10,2020-10-20 06:44:54,2020-10-21 17:10:48
11,2020-10-21 17:10:48,2020-10-23 07:00:58
12,2020-10-23 07:00:58,2020-10-24 18:42:06
13,2020-10-24 18:42:06,2020-10-26 10:57:09
14,2020-10-26 10:57:09,2020-10-27 21:53:33
15,2020-10-27 21:53:33,2020-10-29 15:06:27
16,2020-10-29 15:06:27,2020-10-31 03:11:10
17,2020-10-31 03:11:10,2020-11-01 20:22:59
18,2020-11-01 20:22:59,2020-11-03 10:19:54
19,2020-11-03 10:19:54,2020-11-05 00:00:26
20,2020-11-05 00:00:26,2020-11-06 13:40:38
21,2020-11-06 13:40:38,2020-11-08 01:52:25
22,2020-11-08 01:52:25,2020-11-09 00:52:17
